iter	Passed	Remaining
0	14	7432
1	17	4303
2	19	3259
3	22	2746
4	24	2439
5	27	2232
6	29	2081
7	32	1974
8	34	1887
9	37	1820
10	39	1763
11	42	1715
12	44	1672
13	47	1638
14	49	1611
15	52	1586
16	55	1563
17	57	1546
18	60	1528
19	62	1511
20	65	1497
21	68	1482
22	70	1469
23	73	1460
24	76	1449
25	78	1438
26	81	1432
27	84	1422
28	87	1414
29	89	1406
30	92	1398
31	95	1390
32	97	1383
33	100	1375
34	103	1368
35	105	1361
36	108	1355
37	111	1349
38	113	1344
39	116	1338
40	119	1334
41	122	1332
42	124	1326
43	127	1325
44	131	1326
45	134	1324
46	136	1319
47	139	1315
48	142	1312
49	145	1309
50	148	1305
51	151	1303
52	154	1299
53	156	1295
54	159	1293
55	162	1288
56	165	1285
57	168	1282
58	171	1279
59	174	1276
60	176	1272
61	179	1268
62	182	1264
63	185	1260
64	187	1257
65	190	1253
66	193	1249
67	196	1245
68	198	1242
69	201	1238
70	204	1235
71	207	1232
72	210	1228
73	212	1225
74	215	1221
75	218	1218
76	221	1214
77	223	1210
78	226	1206
79	229	1203
80	231	1199
81	234	1196
82	237	1192
83	240	1189
84	242	1185
85	245	1181
86	248	1178
87	251	1175
88	253	1171
89	256	1168
90	259	1165
91	261	1161
92	264	1158
93	267	1155
94	270	1152
95	273	1148
96	275	1145
97	278	1142
98	281	1139
99	284	1136
100	286	1133
101	289	1130
102	292	1127
103	295	1124
104	298	1121
105	300	1118
106	303	1115
107	306	1111
108	309	1109
109	311	1105
110	314	1102
111	317	1099
112	320	1095
113	322	1092
114	325	1089
115	328	1087
116	331	1083
117	333	1080
118	336	1076
119	339	1073
120	341	1071
121	344	1068
122	347	1065
123	350	1062
124	353	1059
125	356	1057
126	359	1054
127	361	1051
128	364	1048
129	367	1045
130	370	1042
131	373	1040
132	375	1037
133	378	1034
134	381	1032
135	384	1029
136	387	1027
137	390	1024
138	393	1022
139	396	1019
140	399	1016
141	402	1015
142	405	1013
143	408	1010
144	411	1008
145	415	1006
146	418	1004
147	421	1001
148	424	999
149	427	997
150	430	994
151	433	992
152	436	989
153	439	987
154	442	984
155	445	982
156	448	980
157	451	977
158	454	974
159	457	972
160	460	970
161	463	967
162	466	964
163	469	961
164	472	959
165	475	955
166	478	953
167	481	950
168	483	947
169	486	945
170	489	942
171	492	939
